Name    Mtu Network       Address              Ipkts Ierrs Idrop    Opkts Oerrs  Coll
igb0   1500 <Link#1>      00:11:22:33:44:55  5748766     0     0  1591506     0     0
igb0   1500 fe80::225:90f fe80::225:90ff:fe        0     -     -        2     -     -
igb0   1500 10.1.0.0/20   10.1.3.176         1683211     -     -  1480094     -     -
igb1   1500 <Link#2>      00:11:22:33:44:66  6369236     0     0    36130     0     0
igb2   1500 <Link#3>      00:11:22:33:44:66    57591     0     0    35355     0     0
igb3   1500 <Link#4>      00:11:22:33:44:66    53758     0     0    37262     0     0
lo0   16384 <Link#7>                         7486204     0     0  7486201     0     0
lo0   16384 ::1/128       ::1                   6628     -     -     6628     -     -
lo0   16384 fe80::1%lo0/6 fe80::1                  0     -     -        0     -     -
lo0   16384 127.0.0.0/8   127.0.0.1          7479584     -     -  7479582     -     -
lagg0  1500 <Link#8>      00:11:22:33:44:66  6294267     0     0    11768     2     0
lagg0  1500 10.1.16.0/20  10.1.19.176         334619     -     -     9436     -     -
